circuitId,name
albert_park,Albert Park Grand Prix Circuit
bahrain,Bahrain International Circuit
catalunya,Circuit de Barcelona-Catalunya
hockenheimring,Hockenheimring
hungaroring,Hungaroring
interlagos,Autódromo José Carlos Pace
istanbul,Istanbul Park
marina_bay,Marina Bay Street Circuit
monaco,Circuit de Monaco
monza,Autodromo Nazionale di Monza
sepang,Sepang International Circuit
shanghai,Shanghai International Circuit
silverstone,Silverstone Circuit
spa,Circuit de Spa-Francorchamps
suzuka,Suzuka Circuit
valencia,Valencia Street Circuit
villeneuve,Circuit Gilles Villeneuve
yas_marina,Yas Marina Circuit
yeongam,Korean International Circuit
buddh,Buddh International Circuit
nurburgring,Nürburgring
americas,Circuit of the Americas
red_bull_ring,Red Bull Ring
sochi,Sochi Autodrom
rodriguez,Autódromo Hermanos Rodríguez
baku,Baku City Circuit
ricard,Circuit Paul Ricard
imola,Autodromo Enzo e Dino Ferrari
mugello,Autodromo Internazionale del Mugello
portimao,Autódromo Internacional do Algarve
jeddah,Jeddah Corniche Circuit
losail,Losail International Circuit
zandvoort,Circuit Park Zandvoort
miami,Miami International Autodrome
vegas,Las Vegas Strip Street Circuit