year,driverId,constructorId
2010,alonso,ferrari
2010,massa,ferrari
2010,hamilton,mclaren
2010,vettel,red_bull
2010,rosberg,mercedes
2010,michael_schumacher,mercedes
2010,button,mclaren
2010,webber,red_bull
2010,liuzzi,force_india
2010,barrichello,williams
2010,kubica,renault
2010,sutil,force_india
2010,alguersuari,toro_rosso
2010,hulkenberg,williams
2010,kovalainen,lotus_racing
2010,buemi,toro_rosso
2010,trulli,lotus_racing
2010,rosa,sauber
2010,bruno_senna,hrt
2010,glock,virgin
2010,petrov,renault
2010,kobayashi,sauber
2010,grassi,virgin
2010,chandhok,hrt
2010,yamamoto,hrt
2010,heidfeld,sauber
2010,klien,hrt
2011,vettel,red_bull
2011,hamilton,mclaren
2011,petrov,renault
2011,alonso,ferrari
2011,webber,red_bull
2011,button,mclaren
2011,massa,ferrari
2011,buemi,toro_rosso
2011,sutil,force_india
2011,resta,force_india
2011,alguersuari,toro_rosso
2011,heidfeld,renault
2011,trulli,lotus_racing
2011,ambrosio,virgin
2011,glock,virgin
2011,barrichello,williams
2011,rosberg,mercedes
2011,kovalainen,lotus_racing
2011,michael_schumacher,mercedes
2011,maldonado,williams
2011,kobayashi,sauber
2011,perez,sauber
2011,liuzzi,hrt
2011,karthikeyan,hrt
2011,rosa,sauber
2011,ricciardo,hrt
2011,chandhok,lotus_racing
2011,bruno_senna,renault
2012,button,mclaren
2012,vettel,red_bull
2012,hamilton,mclaren
2012,webber,red_bull
2012,alonso,ferrari
2012,kobayashi,sauber
2012,raikkonen,lotus_f1
2012,perez,sauber
2012,ricciardo,toro_rosso
2012,resta,force_india
2012,vergne,toro_rosso
2012,rosberg,mercedes
2012,maldonado,williams
2012,glock,marussia
2012,pic,marussia
2012,bruno_senna,williams
2012,massa,ferrari
2012,kovalainen,caterham
2012,petrov,caterham
2012,michael_schumacher,mercedes
2012,grosjean,lotus_f1
2012,hulkenberg,force_india
2012,rosa,hrt
2012,karthikeyan,hrt
2012,ambrosio,lotus_f1
2013,raikkonen,lotus_f1
2013,alonso,ferrari
2013,vettel,red_bull
2013,massa,ferrari
2013,hamilton,mercedes
2013,webber,red_bull
2013,sutil,force_india
2013,resta,force_india
2013,button,mclaren
2013,grosjean,lotus_f1
2013,perez,mclaren
2013,vergne,toro_rosso
2013,gutierrez,sauber
2013,bottas,williams
2013,jules_bianchi,marussia
2013,pic,caterham
2013,chilton,marussia
2013,garde,caterham
2013,ricciardo,toro_rosso
2013,rosberg,mercedes
2013,maldonado,williams
2013,hulkenberg,sauber
2013,kovalainen,lotus_f1
2014,rosberg,mercedes
2014,kevin_magnussen,mclaren
2014,button,mclaren
2014,alonso,ferrari
2014,bottas,williams
2014,hulkenberg,force_india
2014,raikkonen,ferrari
2014,vergne,toro_rosso
2014,kvyat,toro_rosso
2014,perez,force_india
2014,sutil,sauber
2014,gutierrez,sauber
2014,chilton,marussia
2014,jules_bianchi,marussia
2014,grosjean,lotus_f1
2014,maldonado,lotus_f1
2014,ericsson,caterham
2014,vettel,red_bull
2014,hamilton,mercedes
2014,massa,williams
2014,kobayashi,caterham
2014,ricciardo,red_bull
2014,lotterer,caterham
2014,stevens,caterham
2015,hamilton,mercedes
2015,rosberg,mercedes
2015,vettel,ferrari
2015,massa,williams
2015,nasr,sauber
2015,ricciardo,red_bull
2015,hulkenberg,force_india
2015,ericsson,sauber
2015,sainz,toro_rosso
2015,perez,force_india
2015,button,mclaren
2015,raikkonen,ferrari
2015,max_verstappen,toro_rosso
2015,grosjean,lotus_f1
2015,maldonado,lotus_f1
2015,kvyat,red_bull
2015,kevin_magnussen,mclaren
2015,bottas,williams
2015,merhi,manor
2015,alonso,mclaren
2015,stevens,manor
2015,rossi,manor
2016,rosberg,mercedes
2016,hamilton,mercedes
2016,vettel,ferrari
2016,ricciardo,red_bull
2016,massa,williams
2016,grosjean,haas
2016,hulkenberg,force_india
2016,bottas,williams
2016,sainz,toro_rosso
2016,max_verstappen,toro_rosso
2016,jolyon_palmer,renault
2016,kevin_magnussen,renault
2016,perez,force_india
2016,button,mclaren
2016,nasr,sauber
2016,wehrlein,manor
2016,ericsson,sauber
2016,raikkonen,ferrari
2016,haryanto,manor
2016,gutierrez,haas
2016,alonso,mclaren
2016,kvyat,red_bull
2016,vandoorne,mclaren
2016,max_verstappen,red_bull
2016,kvyat,toro_rosso
2016,ocon,manor
2017,vettel,ferrari
2017,hamilton,mercedes
2017,bottas,mercedes
2017,raikkonen,ferrari
2017,max_verstappen,red_bull
2017,massa,williams
2017,perez,force_india
2017,sainz,toro_rosso
2017,kvyat,toro_rosso
2017,ocon,force_india
2017,hulkenberg,renault
2017,giovinazzi,sauber
2017,vandoorne,mclaren
2017,alonso,mclaren
2017,kevin_magnussen,haas
2017,stroll,williams
2017,ricciardo,red_bull
2017,ericsson,sauber
2017,jolyon_palmer,renault
2017,grosjean,haas
2017,wehrlein,sauber
2017,button,mclaren
2017,resta,williams
2017,gasly,toro_rosso
2017,sainz,renault
2017,brendon_hartley,toro_rosso
2018,vettel,ferrari
2018,hamilton,mercedes
2018,raikkonen,ferrari
2018,ricciardo,red_bull
2018,alonso,mclaren
2018,max_verstappen,red_bull
2018,hulkenberg,renault
2018,bottas,mercedes
2018,vandoorne,mclaren
2018,sainz,renault
2018,perez,force_india
2018,ocon,force_india
2018,leclerc,sauber
2018,stroll,williams
2018,brendon_hartley,toro_rosso
2018,grosjean,haas
2018,kevin_magnussen,haas
2018,gasly,toro_rosso
2018,ericsson,sauber
2018,sirotkin,williams
2019,bottas,mercedes
2019,hamilton,mercedes
2019,max_verstappen,red_bull
2019,vettel,ferrari
2019,leclerc,ferrari
2019,kevin_magnussen,haas
2019,hulkenberg,renault
2019,raikkonen,alfa
2019,stroll,racing_point
2019,kvyat,toro_rosso
2019,gasly,red_bull
2019,norris,mclaren
2019,perez,racing_point
2019,albon,toro_rosso
2019,giovinazzi,alfa
2019,russell,williams
2019,kubica,williams
2019,grosjean,haas
2019,ricciardo,renault
2019,sainz,mclaren
2019,albon,red_bull
2019,gasly,toro_rosso
2020,bottas,mercedes
2020,leclerc,ferrari
2020,norris,mclaren
2020,hamilton,mercedes
2020,sainz,mclaren
2020,perez,racing_point
2020,gasly,alphatauri
2020,ocon,renault
2020,giovinazzi,alfa
2020,vettel,ferrari
2020,latifi,williams
2020,kvyat,alphatauri
2020,albon,red_bull
2020,raikkonen,alfa
2020,russell,williams
2020,grosjean,haas
2020,kevin_magnussen,haas
2020,stroll,racing_point
2020,ricciardo,renault
2020,max_verstappen,red_bull
2020,hulkenberg,racing_point
2020,russell,mercedes
2020,aitken,williams
2020,pietro_fittipaldi,haas
2021,hamilton,mercedes
2021,max_verstappen,red_bull
2021,bottas,mercedes
2021,norris,mclaren
2021,perez,red_bull
2021,leclerc,ferrari
2021,ricciardo,mclaren
2021,sainz,ferrari
2021,tsunoda,alphatauri
2021,stroll,aston_martin
2021,raikkonen,alfa
2021,giovinazzi,alfa
2021,ocon,alpine
2021,russell,williams
2021,vettel,aston_martin
2021,mick_schumacher,haas
2021,gasly,alphatauri
2021,latifi,williams
2021,alonso,alpine
2021,mazepin,haas
2021,kubica,alfa
2022,leclerc,ferrari
2022,sainz,ferrari
2022,hamilton,mercedes
2022,russell,mercedes
2022,kevin_magnussen,haas
2022,bottas,alfa
2022,ocon,alpine
2022,tsunoda,alphatauri
2022,alonso,alpine
2022,zhou,alfa
2022,mick_schumacher,haas
2022,stroll,aston_martin
2022,albon,williams
2022,ricciardo,mclaren
2022,norris,mclaren
2022,latifi,williams
2022,hulkenberg,aston_martin
2022,perez,red_bull
2022,max_verstappen,red_bull
2022,gasly,alphatauri
2022,vettel,aston_martin
2022,de_vries,williams