year,round,raceName,circuitId,date,time,dateq,timeq
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,15:00:00Z,2023-03-04,15:00:00Z
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,17:00:00Z,2023-03-18,17:00:00Z
2023,3,Australian Grand Prix,albert_park,2023-04-02,05:00:00Z,2023-04-01,05:00:00Z
2023,4,Azerbaijan Grand Prix,baku,2023-04-30,11:00:00Z,2023-04-28,13:00:00Z
2023,5,Miami Grand Prix,miami,2023-05-07,19:30:00Z,2023-05-06,20:00:00Z
2023,6,Emilia Romagna Grand Prix,imola,2023-05-21,13:00:00Z,2023-05-20,14:00:00Z
2023,7,Monaco Grand Prix,monaco,2023-05-28,13:00:00Z,2023-05-27,14:00:00Z
2023,8,Spanish Grand Prix,catalunya,2023-06-04,13:00:00Z,2023-06-03,14:00:00Z
2023,9,Canadian Grand Prix,villeneuve,2023-06-18,18:00:00Z,2023-06-17,20:00:00Z
2023,10,Austrian Grand Prix,red_bull_ring,2023-07-02,13:00:00Z,2023-06-30,15:00:00Z
2023,11,British Grand Prix,silverstone,2023-07-09,14:00:00Z,2023-07-08,14:00:00Z
2023,12,Hungarian Grand Prix,hungaroring,2023-07-23,13:00:00Z,2023-07-22,14:00:00Z
2023,13,Belgian Grand Prix,spa,2023-07-30,13:00:00Z,2023-07-28,15:00:00Z
2023,14,Dutch Grand Prix,zandvoort,2023-08-27,13:00:00Z,2023-08-26,13:00:00Z
2023,15,Italian Grand Prix,monza,2023-09-03,13:00:00Z,2023-09-02,14:00:00Z
2023,16,Singapore Grand Prix,marina_bay,2023-09-17,12:00:00Z,2023-09-16,13:00:00Z
2023,17,Japanese Grand Prix,suzuka,2023-09-24,05:00:00Z,2023-09-23,06:00:00Z
2023,18,Qatar Grand Prix,losail,2023-10-08,14:00:00Z,2023-10-06,14:00:00Z
2023,19,United States Grand Prix,americas,2023-10-22,19:00:00Z,2023-10-20,21:00:00Z
2023,20,Mexico City Grand Prix,rodriguez,2023-10-29,20:00:00Z,2023-10-28,21:00:00Z
2023,21,Ṣo Paulo Grand Prix,interlagos,2023-11-05,17:00:00Z,2023-11-03,18:00:00Z
2023,22,Las Vegas Grand Prix,vegas,2023-11-19,06:00:00Z,2023-11-18,08:00:00Z
2023,23,Abu Dhabi Grand Prix,yas_marina,2023-11-26,13:00:00Z,2023-11-25,14:00:00Z
